Salary,Level,Year of Experience,Programming Language,Requirement Language,Description Language,Location,Cluster
17500000.0,Nhân viên,1 năm,java,tiếng anh,vi,Hà Nội,1
14000000.0,Nhân viên,Không yêu cầu kinh nghiệm,Khác,Không yêu cầu,vi,Hà Nội,0
8000000.0,Nhân viên,1 năm,Khác,Không yêu cầu,vi,Khác,1
25000000.0,Nhân viên,3 năm,Khác,Không yêu cầu,vi,Hồ Chí Minh,2
26500000.0,Nhân viên,2 năm,Khác,tiếng anh,vi,Hà Nội,1
8000000.0,Nhân viên,Dưới 1 năm,Khác,Không yêu cầu,vi,Hồ Chí Minh,1
17500000.0,Nhân viên,2 năm,python,Không yêu cầu,vi,Hà Nội,1
10000000.0,Nhân viên,1 năm,Khác,Không yêu cầu,vi,Hồ Chí Minh,1
11500000.0,Nhân viên,1 năm,Khác,Không yêu cầu,vi,Hà Nội,1
11500000.0,Nhân viên,Không yêu cầu kinh nghiệm,Khác,Không yêu cầu,vi,Khác,0
15000000.0,Nhân viên,1 năm,php,Không yêu cầu,vi,Hà Nội,1
11500000.0,Nhân viên,1 năm,Khác,Không yêu cầu,vi,Hà Nội,1
28750000.0,Trưởng nhóm,5 năm,Khác,Không yêu cầu,vi,Hà Nội,1
37500000.0,Nhân viên,5 năm,Khác,Không yêu cầu,vi,Hà Nội,1
25300000.0,Trưởng nhóm,2 năm,Khác,tiếng nhật,vi,Hà Nội,1
25300000.0,Trưởng nhóm,2 năm,Khác,tiếng anh,vi,Hà Nội,1
23500000.0,Nhân viên,2 năm,Khác,Không yêu cầu,en,Hồ Chí Minh,2
12500000.0,Nhân viên,2 năm,Khác,Không yêu cầu,en,Hà Nội,1
35000000.0,Nhân viên,3 năm,Khác,Không yêu cầu,en,Hồ Chí Minh,2
17500000.0,Nhân viên,2 năm,Khác,Không yêu cầu,vi,Hà Nội,1
15000000.0,Nhân viên,1 năm,Khác,Không yêu cầu,vi,Hà Nội,1
21000000.0,Nhân viên,2 năm,c,Không yêu cầu,vi,Hà Nội,1
35000000.0,Nhân viên,3 năm,Khác,Không yêu cầu,en,Hồ Chí Minh,2
15000000.0,Nhân viên,Dưới 1 năm,Khác,Không yêu cầu,vi,Hà Nội,1
15000000.0,Nhân viên,2 năm,Khác,Không yêu cầu,vi,Hà Nội,1
35000000.0,Nhân viên,2 năm,Khác,tiếng anh,en,Hồ Chí Minh,2
20000000.0,Nhân viên,3 năm,Khác,tiếng anh,vi,Hà Nội,1
34500000.0,Nhân viên,2 năm,javascript,Không yêu cầu,en,Hà Nội,2
30000000.0,Quản lý / Giám sát,4 năm,Khác,tiếng anh,vi,Hà Nội,2
30000000.0,Quản lý / Giám sát,2 năm,Khác,Không yêu cầu,vi,Hà Nội,2
15000000.0,Nhân viên,1 năm,Khác,Không yêu cầu,vi,Hà Nội,1
9500000.0,Nhân viên,1 năm,Khác,Không yêu cầu,vi,Đà Nẵng,1
13500000.0,Nhân viên,1 năm,Khác,Không yêu cầu,vi,Hà Nội,1
19550000.0,Nhân viên,1 năm,Khác,Không yêu cầu,en,Hồ Chí Minh,2
35000000.0,Trưởng nhóm,3 năm,java,Không yêu cầu,vi,Hà Nội,2
15000000.0,Nhân viên,3 năm,javascript,Không yêu cầu,vi,Hà Nội,1
21500000.0,Nhân viên,2 năm,Khác,Không yêu cầu,vi,Hà Nội,1
34500000.0,Nhân viên,2 năm,c++,tiếng anh,vi,Hà Nội,1
34500000.0,Nhân viên,2 năm,python,tiếng anh,vi,Hà Nội,1
34500000.0,Nhân viên,2 năm,java,tiếng anh,vi,Hà Nội,1
21500000.0,Nhân viên,2 năm,Khác,Không yêu cầu,vi,Hà Nội,1
40000000.0,Nhân viên,3 năm,php,tiếng nhật,vi,Hà Nội,1
40000000.0,Nhân viên,3 năm,php,tiếng anh,vi,Hà Nội,1
2000000.0,Nhân viên,Không yêu cầu kinh nghiệm,Khác,Không yêu cầu,vi,Hà Nội,0
12000000.0,Nhân viên,1 năm,Khác,Không yêu cầu,vi,Hà Nội,1
13500000.0,Thực tập sinh,Không yêu cầu kinh nghiệm,Khác,Không yêu cầu,vi,Hà Nội,0
28000000.0,Nhân viên,2 năm,python,Không yêu cầu,vi,Hà Nội,1
11500000.0,Nhân viên,Không yêu cầu kinh nghiệm,Khác,tiếng anh,vi,Hà Nội,0
3500000.0,Thực tập sinh,Không yêu cầu kinh nghiệm,Khác,Không yêu cầu,vi,Hồ Chí Minh,0
30000000.0,Nhân viên,4 năm,Khác,Không yêu cầu,vi,Hà Nội,2
8000000.0,Nhân viên,Không yêu cầu kinh nghiệm,Khác,tiếng nhật,vi,Hà Nội,0
3000000.0,Thực tập sinh,Không yêu cầu kinh nghiệm,Khác,Không yêu cầu,vi,Hà Nội,0
30000000.0,Trưởng nhóm,5 năm,c#,Không yêu cầu,vi,Hà Nội,1
3000000.0,Thực tập sinh,Không yêu cầu kinh nghiệm,Khác,tiếng nhật,vi,Hà Nội,0
3000000.0,Thực tập sinh,Không yêu cầu kinh nghiệm,Khác,tiếng anh,vi,Hà Nội,0
8000000.0,Nhân viên,Không yêu cầu kinh nghiệm,c#,Không yêu cầu,vi,Hồ Chí Minh,1
33000000.0,Nhân viên,4 năm,python,tiếng anh,vi,Hà Nội,2
