Salary,Level,Year of Experience,Programming Language,Language,Lang,Location,Cluster
35000000.0,Nhân viên,3 năm,c++,Không yêu cầu,vi,Hà Nội,0
12500000.0,Nhân viên,1 năm,Khác,Không yêu cầu,vi,Hà Nội,0
25300000.0,Nhân viên,Trên 5 năm,Khác,tiếng anh,en,Hà Nội,1
12500000.0,Nhân viên,1 năm,Khác,Không yêu cầu,vi,Hà Nội,0
12500000.0,Nhân viên,1 năm,Khác,Không yêu cầu,vi,Hà Nội,0
12500000.0,Nhân viên,1 năm,Khác,Không yêu cầu,vi,Hà Nội,0
19000000.0,Nhân viên,2 năm,Khác,tiếng anh,vi,Hồ Chí Minh,2
32000000.0,Nhân viên,3 năm,c#,Không yêu cầu,vi,Khác,5
32000000.0,Nhân viên,3 năm,javascript,Không yêu cầu,vi,Khác,5
32000000.0,Nhân viên,3 năm,python,Không yêu cầu,vi,Khác,5
13500000.0,Nhân viên,Dưới 1 năm,typescript,tiếng anh,vi,Hà Nội,4
17250000.0,Nhân viên,2 năm,python,Không yêu cầu,vi,Hà Nội,4
23000000.0,Nhân viên,1 năm,java,Không yêu cầu,en,Hà Nội,1
23000000.0,Nhân viên,1 năm,python,Không yêu cầu,en,Hà Nội,1
30000000.0,Nhân viên,5 năm,javascript,Không yêu cầu,en,Hà Nội,1
30000000.0,Nhân viên,5 năm,java,Không yêu cầu,en,Hà Nội,1
20000000.0,Nhân viên,2 năm,Khác,tiếng anh,vi,Hà Nội,4
15000000.0,Nhân viên,1 năm,Khác,Không yêu cầu,vi,Hà Nội,0
15000000.0,Nhân viên,2 năm,javascript,tiếng anh,vi,Hà Nội,4
12500000.0,Nhân viên,2 năm,Khác,Không yêu cầu,vi,Hà Nội,0
13500000.0,Trưởng nhóm,2 năm,Khác,Không yêu cầu,vi,Hồ Chí Minh,2
13500000.0,Nhân viên,1 năm,c#,tiếng anh,vi,Hồ Chí Minh,2
12000000.0,Nhân viên,1 năm,Khác,Không yêu cầu,vi,Hồ Chí Minh,2
7000000.0,Nhân viên,Không yêu cầu kinh nghiệm,Khác,Không yêu cầu,vi,Hà Nội,0
2000000.0,Thực tập sinh,Không yêu cầu kinh nghiệm,Khác,Không yêu cầu,vi,Hồ Chí Minh,2
11500000.0,Nhân viên,Không yêu cầu kinh nghiệm,Khác,Không yêu cầu,vi,Hà Nội,0
20000000.0,Nhân viên,2 năm,Khác,Không yêu cầu,vi,Hà Nội,0
12500000.0,Nhân viên,1 năm,c#,tiếng anh,vi,Hồ Chí Minh,2
10000000.0,Nhân viên,1 năm,javascript,Không yêu cầu,vi,Hồ Chí Minh,2
12000000.0,Nhân viên,Dưới 1 năm,javascript,tiếng anh,vi,Hà Nội,4
13500000.0,Nhân viên,1 năm,javascript,tiếng anh,vi,Hồ Chí Minh,2
20000000.0,Nhân viên,3 năm,php,Không yêu cầu,vi,Hà Nội,4
20000000.0,Nhân viên,4 năm,Khác,tiếng anh,en,Hà Nội,1
19500000.0,Nhân viên,3 năm,javascript,Không yêu cầu,en,Hồ Chí Minh,3
37500000.0,Nhân viên,3 năm,Khác,tiếng anh,en,Hồ Chí Minh,3
35000000.0,Nhân viên,2 năm,Khác,tiếng anh,en,Hồ Chí Minh,3
5000000.0,Thực tập sinh,Không yêu cầu kinh nghiệm,Khác,tiếng anh,vi,Khác,5
12500000.0,Nhân viên,Dưới 1 năm,c,Không yêu cầu,vi,Hà Nội,0
12500000.0,Nhân viên,Dưới 1 năm,c#,Không yêu cầu,vi,Hà Nội,0
12500000.0,Nhân viên,Dưới 1 năm,c++,Không yêu cầu,vi,Hà Nội,0
18500000.0,Nhân viên,1 năm,java,Không yêu cầu,vi,Hà Nội,0
27500000.0,Nhân viên,2 năm,java,Không yêu cầu,vi,Hà Nội,0
31500000.0,Nhân viên,3 năm,Khác,Không yêu cầu,vi,Hà Nội,0
14000000.0,Nhân viên,1 năm,Khác,Không yêu cầu,vi,Hà Nội,0
3000000.0,Thực tập sinh,Không yêu cầu kinh nghiệm,Khác,tiếng nhật,vi,Hà Nội,4
17500000.0,Nhân viên,2 năm,Khác,Không yêu cầu,vi,Hà Nội,0
31000000.0,Nhân viên,4 năm,Khác,Không yêu cầu,vi,Hồ Chí Minh,2
23000000.0,Nhân viên,1 năm,Khác,tiếng anh,en,Hồ Chí Minh,3
26000000.0,Nhân viên,3 năm,Khác,Không yêu cầu,vi,Hà Nội,0
23000000.0,Nhân viên,1 năm,Khác,Không yêu cầu,vi,Hồ Chí Minh,2
